# time step,ucb true rewards,random true rewards
837.0,0.597400,0.513400
838.0,0.596700,0.512800
839.0,0.595900,0.512200
840.0,0.595200,0.511600
841.0,0.594500,0.511000
842.0,0.593800,0.510400
843.0,0.593100,0.509800
844.0,0.592400,0.509200
845.0,0.591700,0.508600
846.0,0.591000,0.508000
847.0,0.590300,0.507400
848.0,0.589600,0.506800
849.0,0.588900,0.506200
850.0,0.588200,0.505600
851.0,0.587500,0.505000
852.0,0.586900,0.504400
853.0,0.586200,0.503800
854.0,0.585500,0.503200
855.0,0.584800,0.502600
856.0,0.584100,0.502000
857.0,0.583400,0.501400
858.0,0.582800,0.500900
859.0,0.582100,0.500300
860.0,0.581400,0.499700
861.0,0.580700,0.499100
862.0,0.580000,0.498500
863.0,0.579400,0.498000
864.0,0.578700,0.497400
865.0,0.578000,0.496800
866.0,0.577400,0.496200
867.0,0.576700,0.495700
868.0,0.576000,0.495100
869.0,0.575400,0.494500
870.0,0.574700,0.494000
871.0,0.574100,0.493400
872.0,0.573400,0.492800
873.0,0.572700,0.492300
874.0,0.572100,0.491700
875.0,0.571400,0.491100
876.0,0.570800,0.490600
877.0,0.570100,0.490000
878.0,0.569500,0.489500
879.0,0.568800,0.488900
880.0,0.568200,0.488300
881.0,0.567500,0.487800
882.0,0.566900,0.487200
883.0,0.566300,0.486700
884.0,0.565600,0.486100
885.0,0.565000,0.485600
886.0,0.564300,0.485000
887.0,0.563700,0.484500
888.0,0.563100,0.483900
889.0,0.562400,0.483400
890.0,0.561800,0.482900
891.0,0.561200,0.482300
892.0,0.560500,0.481800
893.0,0.559900,0.481200
894.0,0.559300,0.480700
895.0,0.558700,0.480200
896.0,0.558000,0.479600
897.0,0.557400,0.479100
898.0,0.556800,0.478600
899.0,0.556200,0.478000
900.0,0.555600,0.477500
901.0,0.554900,0.477000
902.0,0.554300,0.476400
903.0,0.553700,0.475900
904.0,0.553100,0.475400
905.0,0.552500,0.474900
906.0,0.551900,0.474300
907.0,0.551300,0.473800
908.0,0.550700,0.473300
909.0,0.550100,0.472800
